                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  0.617,                0.61247,                0.96119,                0.93748,                0.79166,                0.90056,                0.62594,                0.87399,                 1.1409,                  1.054,              0.0015515,              0.0015515,              0.0015515
                     37,                 0.5941,                0.60099,                0.95394,                0.92989,                0.86661,                0.93248,                 0.7125,                0.78373,                0.89192,                0.99153,              0.0015482,              0.0015482,              0.0015482
                     38,                0.61691,                0.59188,                0.99147,                 0.9632,                0.92949,                0.97725,                0.82196,                0.69575,                0.64265,                0.93557,              0.0015449,              0.0015449,              0.0015449
                     39,                0.63989,                0.62528,                0.98573,                0.91598,                0.91045,                0.96474,                0.79796,                0.72055,                0.71747,                0.92037,              0.0015416,              0.0015416,              0.0015416
                     40,                0.60039,                0.59642,                0.96647,                0.90651,                0.84049,                0.96307,                0.71633,                0.85379,                0.84738,                0.99487,              0.0015383,              0.0015383,              0.0015383
                     41,                0.62449,                0.60584,                0.98695,                0.75826,                0.66557,                 0.8288,                0.60959,                 0.9912,                 1.4738,                 1.1223,               0.001535,               0.001535,               0.001535
                     42,                0.61477,                0.56236,                0.97326,                0.54874,                0.64203,                0.64811,                0.46432,                 1.1268,                 1.7379,                 1.2474,              0.0015317,              0.0015317,              0.0015317
                     43,                0.67761,                0.59754,                 0.9855,                0.68179,                0.77849,                0.79764,                0.59005,                0.97411,                 1.3504,                 1.0934,              0.0015284,              0.0015284,              0.0015284
                     44,                0.66062,                0.61596,                0.99386,                0.84061,                0.66718,                0.84668,                0.67038,                0.76516,                 1.0584,                0.97951,              0.0015251,              0.0015251,              0.0015251
                     45,                0.67241,                0.61155,                 1.0013,                0.79771,                0.85309,                0.87422,                0.72178,                0.75125,                0.97547,                0.95443,              0.0015218,              0.0015218,              0.0015218
                     46,                0.60202,                 0.5771,                0.96737,                0.85979,                0.91338,                0.92209,                0.76864,                0.67857,                0.71033,                0.90535,              0.0015185,              0.0015185,              0.0015185
                     47,                0.61194,                0.54647,                0.95339,                0.92324,                0.94755,                0.96632,                0.77599,                0.73445,                0.62219,                0.94314,              0.0015152,              0.0015152,              0.0015152
                     48,                0.68386,                0.64188,                 1.0694,                0.98168,                0.94785,                0.98723,                0.82656,                0.71091,                0.57107,                0.91867,              0.0015119,              0.0015119,              0.0015119
                     49,                0.59398,                0.55974,                0.94452,                0.98646,                0.95445,                0.98287,                0.81946,                0.67686,                0.56659,                0.90446,              0.0015086,              0.0015086,              0.0015086
                     50,                0.57485,                0.52396,                0.92756,                0.88893,                0.88509,                0.93308,                0.76852,                0.71559,                0.69211,                0.94614,              0.0015053,              0.0015053,              0.0015053
                     51,                 0.5788,                0.54835,                0.94855,                0.91473,                 0.9036,                0.95484,                0.74562,                0.71459,                0.68906,                0.96162,               0.001502,               0.001502,               0.001502
                     52,                0.64129,                0.68508,                 1.0073,                0.92341,                0.92167,                0.96597,                0.80614,                0.68635,                 0.5828,                0.94633,              0.0014987,              0.0014987,              0.0014987
                     53,                0.54348,                0.50591,                0.94953,                0.93817,                0.89835,                0.96594,                0.79722,                0.65604,                0.58013,                0.91842,              0.0014954,              0.0014954,              0.0014954
                     54,                0.57423,                0.53371,                0.95375,                0.95371,                0.96636,                0.97549,                 0.8311,                0.63074,                0.53373,                0.90532,              0.0014921,              0.0014921,              0.0014921
                     55,                0.53436,                0.48982,                  0.922,                0.94135,                0.96636,                0.97179,                0.82222,                0.64082,                0.54325,                0.91373,              0.0014888,              0.0014888,              0.0014888
                     56,                0.53721,                0.50186,                0.94359,                0.92721,                0.96058,                0.95311,                0.80375,                0.64735,                0.55296,                0.92863,              0.0014855,              0.0014855,              0.0014855
                     57,                0.53908,                 0.4996,                0.94086,                0.92472,                0.92515,                0.94125,                0.79878,                0.65366,                0.55104,                0.94245,              0.0014822,              0.0014822,              0.0014822
                     58,                0.63562,                0.57702,                 1.0128,                0.93819,                0.92081,                0.95085,                0.79827,                0.66206,                0.54179,                0.95852,              0.0014789,              0.0014789,              0.0014789
                     59,                0.59323,                0.48614,                0.95007,                0.90546,                0.90271,                 0.9379,                0.78715,                0.65183,                0.57537,                0.95573,              0.0014756,              0.0014756,              0.0014756
                     60,                0.58218,                0.47965,                0.93675,                 0.9586,                0.82886,                0.94589,                0.80278,                0.67928,                 0.5972,                0.91905,              0.0014723,              0.0014723,              0.0014723
                     61,                0.53541,                0.47845,                0.93511,                0.91582,                  0.897,                0.94602,                0.79526,                0.66937,                 0.5634,                0.91749,               0.001469,               0.001469,               0.001469
                     62,                  0.583,                0.50401,                0.96694,                0.88655,                0.96279,                0.92938,                0.79499,                0.69022,                0.58185,                0.95288,              0.0014657,              0.0014657,              0.0014657
                     63,                0.53884,                0.51089,                 0.9382,                0.92549,                0.94255,                0.93408,                0.79852,                0.69402,                0.58239,                0.94304,              0.0014624,              0.0014624,              0.0014624
                     64,                0.52871,                0.46306,                0.92445,                 0.9616,                0.95445,                0.97875,                0.81838,                0.65383,                0.51136,                0.89531,              0.0014591,              0.0014591,              0.0014591
                     65,                0.53684,                0.46351,                0.96119,                0.98256,                0.92418,                0.98221,                0.81198,                0.68027,                0.51814,                0.90646,              0.0014558,              0.0014558,              0.0014558
                     66,                0.51872,                 0.4839,                0.92043,                 0.9651,                0.94255,                0.98029,                0.82706,                0.60736,                0.49532,                0.87923,              0.0014525,              0.0014525,              0.0014525
                     67,                0.53668,                0.48857,                0.94329,                0.96417,                0.95208,                0.97111,                0.83214,                0.61733,                0.50511,                0.88774,              0.0014492,              0.0014492,              0.0014492
                     68,                0.53138,                0.49647,                0.95099,                0.90894,                0.94255,                0.96105,                0.79763,                0.65437,                0.54064,                0.90277,              0.0014459,              0.0014459,              0.0014459
                     69,                 0.5157,                0.47224,                0.92527,                0.90466,                0.94255,                0.95895,                0.79222,                 0.6681,                 0.5589,                0.89365,              0.0014426,              0.0014426,              0.0014426
                     70,                0.51147,                0.53584,                0.90471,                0.88644,                0.95445,                0.95576,                0.82143,                0.59986,                0.51819,                0.86209,              0.0014393,              0.0014393,              0.0014393
                     71,                0.50318,                0.44969,                0.92525,                0.94244,                0.91167,                0.96793,                0.81122,                0.60693,                0.49038,                0.86261,               0.001436,               0.001436,               0.001436
                     72,                 0.5697,                 0.4782,                 0.9773,                0.94894,                0.97826,                0.97295,                0.82878,                0.63259,                0.47523,                0.87375,              0.0014327,              0.0014327,              0.0014327
                     73,                0.52759,                0.47458,                0.92696,                0.94865,                0.96233,                0.96966,                0.82288,                0.64886,                0.47617,                0.88504,              0.0014294,              0.0014294,              0.0014294
                     74,                0.52136,                 0.4725,                0.94115,                0.90096,                0.95038,                0.96374,                0.82904,                0.61118,                0.47628,                0.87142,              0.0014261,              0.0014261,              0.0014261
